Little Mix,Touch,Glory Days (Deluxe),https://open.spotify.com/track/5Ua3GXyHwiSfpNTMjq6m2z,82
Daya,Hide Away,"Sit Still, Look Pretty",https://open.spotify.com/track/0uyZ5ckiIUbFZd3P6RWmrj,69
Lorde,Royals,Pure Heroine,https://open.spotify.com/track/2dLLR6qlu5UJ5gk0dKz0h3,74
Sia,Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),https://open.spotify.com/track/1j4kHkkpqZRBwE0A4CN4Yv,99
Jessie J,Who You Are,Who You Are (Platinum Edition),https://open.spotify.com/track/65lIGCfW59BxcEJnnIOCq3,62
Zara Larsson,I Can't Fall in Love Without You,So Good,https://open.spotify.com/track/4VPXFi4vFTtS9wHe6oMQaT,78
Lorde,Supercut,Melodrama,https://open.spotify.com/track/6K8VQ84MqhsoakN5MjrnVR,70
Carly Rae Jepsen,Cut To The Feeling,Cut To The Feeling,https://open.spotify.com/track/6EJiVf7U0p1BBfs0qqeb1f,66
Sia,Cheap Thrills,This Is Acting (Deluxe Version),https://open.spotify.com/track/3S4px9f4lceWdKf0gWciFu,76
Fifth Harmony,He Like That,Fifth Harmony,https://open.spotify.com/track/0m2orA1i5lLZUOt9XLwSd0,82
Taylor Swift,Style,1989 (Deluxe Edition),https://open.spotify.com/track/1fo2ctLqj3zBhRQKOXprol,69
Kesha,Rainbow,Rainbow,https://open.spotify.com/track/2Tuc96S4JToUiQSLW3aMec,73
Lorde,Green Light,Melodrama,https://open.spotify.com/track/6ie2Bw3xLj2JcGowOlcMhb,76
Fifth Harmony,That's My Girl,7/27 (Deluxe),https://open.spotify.com/track/2ACOWPLUe4A4KuQ5ioD2od,75
Banks,Lovesick,The Altar,https://open.spotify.com/track/4Dbw1WDJ3uiwqQaSSCKbOM,56
Ciara,"One, Two Step",Goodies,https://open.spotify.com/track/7uKcScNXuO3MWw6LowBjW1,75
Fifth Harmony,Work from Home,7/27 (Deluxe),https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,84
Ariana Grande,My Favorite Part,The Divine Feminine,https://open.spotify.com/track/66wkCYWlXzSTQAfnsPBptt,74
Beyonce,Crazy In Love,Dangerously In Love,https://open.spotify.com/track/5IVuqXILoxVWvWEPm82Jxr,79
Little Mix,Shout Out to My Ex,Glory Days (Deluxe),https://open.spotify.com/track/0YHUITU3w6ws1v8ehT264g,80
Halsey,Bad At Love,hopeless fountain kingdom (Deluxe),https://open.spotify.com/track/7y9iMe8SOB6z3NoHE2OfXl,86
Kesha,TiK ToK,Animal,https://open.spotify.com/track/5OMwQFBcte0aWFJFqrr5oj,72
